comments,purchaseRate,recommendRate,rate
1,0.0000,0.0000,5.0000
2,1.0000,0.0000,5.0000
6,0.8333,0.8333,5.0000
16,0.2500,0.8125,3.8125
651,0.0154,0.9324,4.6882
348,0.0948,0.7931,4.1293
1,0.0000,1.0000,5.0000
17,0.6471,0.8235,4.4118
95,0.0526,0.8632,4.2526
25,0.4000,0.9600,4.7600
35,0.0000,0.9429,4.7429
1,0.0000,0.0000,5.0000
1,0.0000,1.0000,5.0000
15,0.2000,0.6000,3.6000
74,0.1351,0.7027,4.2162
1,0.0000,1.0000,5.0000
9,0.0000,0.3333,4.1111
10,0.0000,0.0000,3.7000
12,0.0833,0.0833,2.9167
1,0.0000,0.0000,5.0000
23,0.3478,0.9565,4.6087
2,0.0000,1.0000,4.5000
38,0.0000,0.7895,4.5526
1,0.0000,1.0000,5.0000
4,0.0000,0.2500,4.5000
1,0.0000,0.0000,5.0000
1,0.0000,0.0000,5.0000
1,0.0000,0.0000,2.0000
4,0.0000,0.0000,2.0000
29,0.6207,0.8966,4.3793
12,0.3333,0.6667,3.9167
15,0.3333,1.0000,4.8667
7,0.0000,0.0000,5.0000
1,0.0000,0.0000,5.0000
43,0.3488,0.9302,4.6977
22,0.7273,0.9091,4.5000
13,0.0000,0.8462,4.3846
368,0.0000,0.9049,4.1658
13,0.0000,0.8462,4.6923
1,0.0000,0.0000,1.0000
12,0.0000,0.0000,4.9167
24,0.6667,0.7083,4.5833
6,0.8333,0.5000,4.5000
135,0.0148,0.9926,4.7037
1,0.0000,1.0000,5.0000
20,0.0500,0.7000,3.7000
8606,0.0006,0.9937,4.8214
12,0.0000,0.0000,4.8333
7,0.4286,0.4286,2.5714
8,0.0000,0.0000,4.8750
4,0.2500,0.7500,5.0000
29,0.0000,0.2759,4.4138
1,0.0000,1.0000,5.0000
16,0.5000,0.9375,4.2500
8,0.2500,0.5000,3.7500
1,0.0000,1.0000,5.0000
2,0.0000,0.0000,3.5000
1,0.0000,1.0000,5.0000
1,0.0000,1.0000,1.0000
11,0.8182,1.0000,4.9091
5,0.0000,0.0000,4.4000
59,0.0000,0.1186,4.2542
40,0.4750,0.8750,4.4750
2,0.0000,1.0000,5.0000
1,0.0000,1.0000,3.0000
8,0.5000,0.7500,4.0000
18,0.0556,0.0556,4.8889
161,0.0621,0.9068,4.7578
3,1.0000,0.6667,5.0000
3,0.3333,1.0000,5.0000
131,0.0153,0.9847,4.5267
1,0.0000,1.0000,4.0000
1,0.0000,0.0000,1.0000
9,0.5556,0.7778,3.5556
47,0.5106,0.7447,3.7660
2,0.0000,1.0000,5.0000
6,0.0000,0.0000,3.5000
6,0.3333,0.8333,4.1667
4,0.5000,1.0000,5.0000
10,0.2000,0.9000,4.4000
1,1.0000,1.0000,5.0000
1,0.0000,0.0000,3.0000
9,0.2222,0.3333,3.8889
8,0.0000,0.0000,4.6250
31,0.2258,0.2581,4.5161
7,0.0000,0.2857,4.2857
3,0.3333,1.0000,5.0000
33,0.1515,0.4545,3.6667
2,0.0000,0.0000,5.0000
1,0.0000,1.0000,5.0000
11,0.1818,0.4545,4.8182
5,0.6000,1.0000,5.0000
11,0.0000,0.0000,4.9091
13,0.0000,0.0000,4.7692
1,1.0000,1.0000,4.0000
4,0.2500,1.0000,4.7500
1,0.0000,1.0000,5.0000
1,1.0000,1.0000,5.0000
6,0.3333,0.8333,4.1667
6,0.3333,0.5000,4.3333
71,0.5775,0.8592,4.4085
9,0.0000,0.0000,2.6667
12,0.0833,0.1667,5.0000
17,0.0000,0.0000,4.7059
6,0.1667,0.8333,3.8333
26,0.0385,0.3846,4.8846
7,0.2857,0.8571,4.4286
8,0.3750,0.7500,4.1250
376,0.0027,0.4521,2.8112
8,0.0000,0.2500,4.0000
7,0.0000,0.1429,5.0000
38,0.1842,0.9211,4.4737
183,0.0000,0.9836,4.6557
1,0.0000,0.0000,4.0000
11,0.0000,0.8182,4.8182
30,0.5667,0.8667,4.7667
27,0.0000,0.6667,4.3333
8,0.8750,1.0000,4.6250
4,0.0000,0.0000,5.0000
29,0.6207,1.0000,4.6552
2,0.0000,1.0000,5.0000
25,0.0800,0.8800,4.4000
6,0.3333,0.8333,4.3333
3,0.6667,0.6667,4.3333
15,0.0000,1.0000,4.7333
1,0.0000,0.0000,2.0000
34,0.1471,0.9412,4.6176
4,0.0000,0.2500,4.7500
11,0.3636,0.3636,4.3636
1,0.0000,0.0000,2.0000
1,0.0000,1.0000,1.0000
26,0.0385,0.5000,4.7692
1,0.0000,1.0000,5.0000
13,0.0000,1.0000,4.8462
1,0.0000,0.0000,1.0000
4,0.7500,0.7500,4.2500
3,1.0000,0.3333,3.3333
9,0.1111,0.3333,4.6667
4,0.0000,0.2500,4.7500
7,0.8571,1.0000,4.4286
10,0.0000,0.0000,4.1000
2,0.0000,1.0000,5.0000
61,0.0328,1.0000,4.8361
6,0.0000,0.0000,3.8333
2,0.0000,1.0000,5.0000
8,0.0000,0.0000,4.5000
28,0.0000,0.0357,3.1786
19,0.0000,0.0000,4.5789
5,0.0000,0.8000,5.0000
17,0.0000,0.8824,4.1176
15,0.1333,0.8667,4.4667
2,0.0000,0.5000,5.0000
2,0.0000,0.0000,5.0000
2,0.0000,1.0000,5.0000
3,0.0000,0.0000,4.0000
1,0.0000,0.0000,1.0000
2,0.0000,0.0000,3.5000
4,0.0000,0.2500,4.5000
65,0.4000,0.9538,4.7385
43,0.0465,0.9767,4.6977
4,1.0000,1.0000,4.0000
1,0.0000,1.0000,5.0000
12,0.0000,0.0000,4.7500
11,0.1818,0.9091,4.6364
1,0.0000,0.0000,5.0000
12,0.1667,1.0000,4.5000
22,0.4091,0.8636,4.6364
1886,0.0000,0.5997,4.6039
8,0.0000,0.8750,4.2500
17,0.0000,0.7059,3.9412
1,1.0000,1.0000,4.0000
1439,0.0236,0.9583,4.8263
1,0.0000,1.0000,5.0000
262,0.1260,0.4084,3.5534
8,0.2500,0.8750,4.3750
1,0.0000,1.0000,4.0000
2,0.0000,1.0000,4.5000
31,0.4839,0.8710,4.6452
1,0.0000,1.0000,5.0000
13,0.3846,0.7692,4.0000
4,0.0000,1.0000,5.0000
7,0.0000,1.0000,3.7143
76,0.0000,0.7105,3.9605
9,0.0000,0.1111,4.5556
587,0.8126,0.8126,4.3101
4,0.0000,1.0000,5.0000
2,0.0000,0.5000,3.5000
1,0.0000,0.0000,5.0000
18,0.2778,1.0000,4.7222
32,0.0625,0.9063,4.3438
35,0.1429,0.9429,4.5429
39,0.0000,0.7179,4.9231
4,0.2500,1.0000,4.7500
1,0.0000,0.0000,4.0000
2,0.0000,1.0000,5.0000
10,0.0000,0.7000,4.1000
8,0.1250,1.0000,4.8750
8,0.1250,0.8750,4.7500
1,0.0000,1.0000,5.0000
2,0.5000,0.5000,3.5000
463,0.9568,0.8661,4.2009
27,0.0370,1.0000,4.7778
178,0.0674,0.9438,4.7022
2,0.5000,1.0000,4.0000
6,0.3333,0.8333,4.3333
2,0.5000,0.5000,5.0000
1,1.0000,0.0000,2.0000
5,0.0000,0.0000,4.4000
17,0.4118,0.4706,4.2941
1,1.0000,1.0000,5.0000
1,0.0000,0.0000,2.0000
3,1.0000,1.0000,5.0000
3,0.0000,1.0000,5.0000
1,0.0000,0.0000,1.0000
2283,0.0074,0.3009,4.4560
16,0.5625,0.9375,4.8750
113,0.0000,0.9558,4.8142
9,0.0000,0.8889,4.6667
1,0.0000,0.0000,5.0000
12,0.4167,0.9167,4.4167
1,0.0000,0.0000,3.0000
2,0.0000,0.5000,5.0000
2,0.0000,0.5000,5.0000
14,0.0000,0.2857,2.4286
46,0.0000,0.0435,3.3696
2,0.0000,1.0000,4.0000
9,0.0000,0.3333,3.8889
74,0.0405,0.9054,4.7568
13,0.3077,0.7692,4.6154
6,0.0000,0.0000,4.1667
2,0.0000,1.0000,5.0000
2,0.0000,0.5000,2.5000
5,0.0000,0.0000,3.4000
2,1.0000,0.5000,4.5000
2,0.0000,1.0000,4.5000
1,0.0000,1.0000,5.0000
5,0.0000,1.0000,4.8000
100,0.0000,0.7600,4.7300
3,0.0000,1.0000,3.6667
1,0.0000,1.0000,5.0000
1,1.0000,1.0000,5.0000
12,0.5833,0.9167,4.5000
3,0.6667,1.0000,5.0000
2,0.0000,0.0000,3.0000
25,0.0800,0.2800,3.8400
9,0.3333,0.8889,4.4444
2,0.5000,1.0000,4.5000
63,0.5714,0.9365,4.7302
11,0.7273,1.0000,4.9091
423,0.0567,0.9291,4.7943
1,0.0000,1.0000,5.0000
11,0.0000,0.9091,4.6364
1,0.0000,1.0000,5.0000
2,0.5000,1.0000,5.0000
1,0.0000,0.0000,3.0000
82,0.2317,0.9512,4.7439
65,0.0923,0.8923,4.5692
1,0.0000,1.0000,3.0000
1,0.0000,1.0000,5.0000
1,0.0000,1.0000,5.0000
1,0.0000,1.0000,5.0000
1,0.0000,0.0000,5.0000
4,0.0000,1.0000,5.0000
1,0.0000,1.0000,5.0000
355,0.0085,0.8225,4.1465
1408,0.0000,0.9595,4.5625
4,0.5000,0.5000,3.0000
562,0.0107,0.9662,4.4110
1,0.0000,1.0000,5.0000
