comments,purchase_rate,recommended_rate,rating,comments.scale,purchase_rate.scale,recommended_rate.scale,rating.scale
1,0,0,5,0.0112477,0,0,1.157009452
2,1,0,5,0.022495401,5.437913842,0,1.157009452
6,0.8333,0.8333,5,0.067486202,4.531413605,1.304847703,1.157009452
16,0.25,0.8125,3.8125,0.179963205,1.359478461,1.272277401,0.882219707
651,0.0154,0.9324,4.6882,7.322252885,0.083743873,1.460026399,1.084858343
348,0.0948,0.7931,4.1293,3.914199699,0.515514232,1.241899331,0.955527826
1,0,1,5,0.0112477,0,1.565879878,1.157009452
17,0.6471,0.8235,4.4118,0.191210905,3.518874047,1.28950208,1.02089886
95,0.0526,0.8632,4.2526,1.068531527,0.286034268,1.351667511,0.984059679
25,0.4,0.96,4.76,0.281192507,2.175165537,1.503244683,1.101472999
35,0,0.9429,4.7429,0.39366951,0,1.476468137,1.097516026
1,0,0,5,0.0112477,0,0,1.157009452
1,0,1,5,0.0112477,0,1.565879878,1.157009452
15,0.2,0.6,3.6,0.168715504,1.087582768,0.939527927,0.833046806
74,0.1351,0.7027,4.2162,0.832329821,0.73466216,1.10034379,0.975636651
1,0,1,5,0.0112477,0,1.565879878,1.157009452
9,0,0.3333,4.1111,0.101229303,0,0.521907763,0.951316312
10,0,0,3.7,0.112477003,0,0,0.856186995
12,0.0833,0.0833,2.9167,0.134972403,0.452978223,0.130437794,0.674929894
1,0,0,5,0.0112477,0,0,1.157009452
23,0.3478,0.9565,4.6087,0.258697107,1.891306434,1.497764104,1.066461893
2,0,1,4.5,0.022495401,0,1.565879878,1.041308507
38,0,0.7895,4.5526,0.427412611,0,1.236262164,1.053480247
1,0,1,5,0.0112477,0,1.565879878,1.157009452
4,0,0.25,4.5,0.044990801,0,0.39146997,1.041308507
1,0,0,5,0.0112477,0,0,1.157009452
1,0,0,5,0.0112477,0,0,1.157009452
1,0,0,2,0.0112477,0,0,0.462803781
4,0,0,2,0.044990801,0,0,0.462803781
29,0.6207,0.8966,4.3793,0.326183308,3.375313122,1.403967899,1.013378299
12,0.3333,0.6667,3.9167,0.134972403,1.812456684,1.043972115,0.906331784
15,0.3333,1,4.8667,0.168715504,1.812456684,1.565879878,1.12616358
7,0,0,5,0.078733902,0,0,1.157009452
1,0,0,5,0.0112477,0,0,1.157009452
43,0.3488,0.9302,4.6977,0.483651112,1.896744348,1.456581463,1.087056661
22,0.7273,0.9091,4.5,0.247449406,3.954994737,1.423541397,1.041308507
13,0,0.8462,4.3846,0.146220104,0,1.325047553,1.014604729
368,0,0.9049,4.1658,4.139153704,0,1.416964702,0.963973995
13,0,0.8462,4.6923,0.146220104,0,1.325047553,1.085807091
1,0,0,1,0.0112477,0,0,0.23140189
12,0,0,4.9167,0.134972403,0,0,1.137733675
24,0.6667,0.7083,4.5833,0.269944807,3.625457159,1.109112718,1.060584285
6,0.8333,0.5,4.5,0.067486202,4.531413605,0.782939939,1.041308507
135,0.0148,0.9926,4.7037,1.518439538,0.080481125,1.554292367,1.088445072
1,0,1,5,0.0112477,0,1.565879878,1.157009452
20,0.05,0.7,3.7,0.224954006,0.271895692,1.096115915,0.856186995
8606,6.00E-04,0.9937,4.8214,96.79770864,0.003262748,1.556014835,1.115681075
12,0,0,4.8333,0.134972403,0,0,1.118434757
7,0.4286,0.4286,2.5714,0.078733902,2.330689873,0.671136116,0.595026821
8,0,0,4.875,0.089981602,0,0,1.128084216
4,0.25,0.75,5,0.044990801,1.359478461,1.174409909,1.157009452
29,0,0.2759,4.4138,0.326183308,0,0.432026258,1.021361664
1,0,1,5,0.0112477,0,1.565879878,1.157009452
16,0.5,0.9375,4.25,0.179963205,2.718956921,1.468012386,0.983458035
8,0.25,0.5,3.75,0.089981602,1.359478461,0.782939939,0.867757089
1,0,1,5,0.0112477,0,1.565879878,1.157009452
2,0,0,3.5,0.022495401,0,0,0.809906617
1,0,1,5,0.0112477,0,1.565879878,1.157009452
1,0,1,1,0.0112477,0,1.565879878,0.23140189
11,0.8182,1,4.9091,0.123724703,4.449301106,1.565879878,1.135975021
5,0,0,4.4,0.056238501,0,0,1.018168318
59,0,0.1186,4.2542,0.663614317,0,0.185713354,0.984429922
40,0.475,0.875,4.475,0.449908011,2.583009075,1.370144894,1.03552346
2,0,1,5,0.022495401,0,1.565879878,1.157009452
1,0,1,3,0.0112477,0,1.565879878,0.694205671
8,0.5,0.75,4,0.089981602,2.718956921,1.174409909,0.925607562
18,0.0556,0.0556,4.8889,0.202458605,0.30234801,0.087062921,1.131300702
161,0.0621,0.9068,4.7578,1.810879746,0.33769445,1.419939874,1.100963915
3,1,0.6667,5,0.033743101,5.437913842,1.043972115,1.157009452
3,0.3333,1,5,0.033743101,1.812456684,1.565879878,1.157009452
131,0.0153,0.9847,4.5267,1.473448737,0.083200082,1.541921916,1.047486938
1,0,1,4,0.0112477,0,1.565879878,0.925607562
1,0,0,1,0.0112477,0,0,0.23140189
9,0.5556,0.7778,3.5556,0.101229303,3.021304931,1.217941369,0.822772562
47,0.5106,0.7447,3.766,0.528641913,2.776598808,1.166110745,0.87145952
2,0,1,5,0.022495401,0,1.565879878,1.157009452
6,0,0,3.5,0.067486202,0,0,0.809906617
6,0.3333,0.8333,4.1667,0.067486202,1.812456684,1.304847703,0.964182257
4,0.5,1,5,0.044990801,2.718956921,1.565879878,1.157009452
10,0.2,0.9,4.4,0.112477003,1.087582768,1.40929189,1.018168318
1,1,1,5,0.0112477,5.437913842,1.565879878,1.157009452
1,0,0,3,0.0112477,0,0,0.694205671
9,0.2222,0.3333,3.8889,0.101229303,1.208304456,0.521907763,0.899898812
8,0,0,4.625,0.089981602,0,0,1.070233743
31,0.2258,0.2581,4.5161,0.348678709,1.227880946,0.404153597,1.045034078
7,0,0.2857,4.2857,0.078733902,0,0.447371881,0.991719082
3,0.3333,1,5,0.033743101,1.812456684,1.565879878,1.157009452
33,0.1515,0.4545,3.6667,0.371174109,0.823843947,0.711692405,0.848481312
2,0,0,5,0.022495401,0,0,1.157009452
1,0,1,5,0.0112477,0,1.565879878,1.157009452
11,0.1818,0.4545,4.8182,0.123724703,0.988612737,0.711692405,1.114940589
5,0.6,1,5,0.056238501,3.262748305,1.565879878,1.157009452
11,0,0,4.9091,0.123724703,0,0,1.135975021
13,0,0,4.7692,0.146220104,0,0,1.103601896
1,1,1,4,0.0112477,5.437913842,1.565879878,0.925607562
4,0.25,1,4.75,0.044990801,1.359478461,1.565879878,1.09915898
1,0,1,5,0.0112477,0,1.565879878,1.157009452
1,1,1,5,0.0112477,5.437913842,1.565879878,1.157009452
6,0.3333,0.8333,4.1667,0.067486202,1.812456684,1.304847703,0.964182257
6,0.3333,0.5,4.3333,0.067486202,1.812456684,0.782939939,1.002733812
71,0.5775,0.8592,4.4085,0.79858672,3.140395244,1.345403991,1.020135234
9,0,0,2.6667,0.101229303,0,0,0.617079421
12,0.0833,0.1667,5,0.134972403,0.452978223,0.261032176,1.157009452
17,0,0,4.7059,0.191210905,0,0,1.088954156
6,0.1667,0.8333,3.8333,0.067486202,0.906500238,1.304847703,0.887032867
26,0.0385,0.3846,4.8846,0.292440207,0.209359683,0.602237401,1.130305674
7,0.2857,0.8571,4.4286,0.078733902,1.553611985,1.342115644,1.024786412
8,0.375,0.75,4.125,0.089981602,2.039217691,1.174409909,0.954532798
376,0.0027,0.4521,2.8112,4.229135307,0.014682367,0.707934293,0.650516995
8,0,0.25,4,0.089981602,0,0.39146997,0.925607562
7,0,0.1429,5,0.078733902,0,0.223764235,1.157009452
38,0.1842,0.9211,4.4737,0.427412611,1.00166373,1.442331956,1.035222637
183,0,0.9836,4.6557,2.058329152,0,1.540199448,1.077337782
1,0,0,4,0.0112477,0,0,0.925607562
11,0,0.8182,4.8182,0.123724703,0,1.281202916,1.114940589
30,0.5667,0.8667,4.7667,0.337431009,3.081665774,1.357148091,1.103023391
27,0,0.6667,4.3333,0.303687908,0,1.043972115,1.002733812
8,0.875,1,4.625,0.089981602,4.758174612,1.565879878,1.070233743
4,0,0,5,0.044990801,0,0,1.157009452
29,0.6207,1,4.6552,0.326183308,3.375313122,1.565879878,1.077222081
