CustomerID,ItemPurchased,ItemVariety,Revenue,TotalVisit,ItemPerVisit,RevenuePerVisit
0,269562,3681,1402889.59,3526,76.45,397.87
12346,0,1,0.00,2,0.00,0.00
12347,2458,103,4268.60,7,351.14,609.80
12348,2341,22,1527.15,4,585.25,381.79
12349,631,73,1406.95,1,631.00,1406.95
12350,197,17,304.39,1,197.00,304.39
12352,470,59,1321.54,9,52.22,146.84
12353,20,4,89.00,1,20.00,89.00
12354,530,58,1052.60,1,530.00,1052.60
12355,240,13,453.88,1,240.00,453.88
12356,1591,53,2624.77,3,530.33,874.92
12357,2708,131,6125.14,1,2708.00,6125.14
12358,248,13,988.00,2,124.00,494.00
12359,1612,214,4855.22,5,322.40,971.04
12360,1165,105,2260.93,3,388.33,753.64
12361,91,10,184.89,1,91.00,184.89
12362,2212,201,4879.94,11,201.09,443.63
12363,408,23,552.00,2,204.00,276.00
12364,1506,70,1276.11,4,376.50,319.03
12365,173,22,317.93,3,57.67,105.98
12367,173,11,160.89,1,173.00,160.89
12370,2353,143,3455.66,4,588.25,863.91
12371,591,63,1606.83,2,295.50,803.42
12372,794,34,1255.98,3,264.67,418.66
12373,197,14,334.59,1,197.00,334.59
12374,342,33,633.46,1,342.00,633.46
12375,177,14,395.40,3,59.00,131.80
12377,944,72,1568.10,2,472.00,784.05
12378,2529,219,3953.90,1,2529.00,3953.90
12379,406,39,825.24,3,135.33,275.08
12380,1126,77,2503.63,5,225.20,500.73
12381,783,70,1520.07,6,130.50,253.35
12383,1529,84,1746.14,6,254.83,291.02
12384,121,26,439.44,3,40.33,146.48
12386,354,10,401.90,2,177.00,200.95
12388,1462,57,2773.70,6,243.67,462.28
12390,353,32,520.89,1,353.00,520.89
12391,300,92,453.93,1,300.00,453.93
12393,816,47,1582.60,4,204.00,395.65
12394,819,26,1190.37,2,409.50,595.19
12395,2113,91,2803.47,13,162.54,215.65
12397,1263,110,2255.21,2,631.50,1127.61
12398,1394,85,1485.61,1,1394.00,1485.61
12399,1178,47,1083.60,4,294.50,270.90
12401,11,5,72.81,1,11.00,72.81
12402,94,11,215.58,1,94.00,215.58
12403,95,5,401.69,2,47.50,200.85
12405,857,54,1470.31,1,857.00,1470.31
12406,1809,92,3265.87,3,603.00,1088.62
12407,1416,57,1635.07,5,283.20,327.01
12408,1399,81,2715.64,6,233.17,452.61
12409,5543,91,10806.13,4,1385.75,2701.53
12410,209,26,555.52,3,69.67,185.17
12412,829,43,1192.83,3,276.33,397.61
12413,282,29,666.18,4,70.50,166.55
12414,300,16,472.38,3,100.00,157.46
12415,77242,444,122658.74,22,3511.00,5575.40
12417,1539,158,3258.41,10,153.90,325.84
12418,407,34,668.58,1,407.00,668.58
12420,345,29,583.71,1,345.00,583.71
12421,483,33,695.45,5,96.60,139.09
12422,370,39,705.25,3,123.33,235.08
12423,1327,97,1757.53,9,147.44,195.28
12424,740,30,1760.96,2,370.00,880.48
12425,496,36,771.68,1,496.00,771.68
