InvoiceNo,StockCode,Description,Quantity,CustomerID
0,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,15311
0,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,17548
0,21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,17548
0,21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,17548
0,21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,17548
0,21484,CHICK GREY HOT WATER BOTTLE,-12,17548
0,22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,17548
0,22553,PLASTERS IN TIN SKULLS,-24,17548
0,22960,JAM MAKING SET WITH JARS,-6,17897
0,22632,HAND WARMER RED RETROSPOT,-1,17841
0,22355,CHARLOTTE BAG SUKI DESIGN,-2,17841
0,22244,3 HOOK HANGER MAGIC GARDEN,-4,12472
0,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,12472
0,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,12472
0,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,12472
0,22654,DELUXE SEWING KIT ,-1,12472
0,22767,TRIPLE PHOTO FRAME CORNICE ,-2,12472
0,22333,RETROSPOT PARTY BAG + STICKER SET,-1,12472
0,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,12472
0,22077,6 RIBBONS RUSTIC CHARM,-6,12472
0,22631,CIRCUS PARADE LUNCH BOX ,-1,12472
0,22168,ORGANISER WOOD ANTIQUE WHITE ,-2,12472
0,21218,RED SPOTTY BISCUIT TIN,-3,12472
0,20957,PORCELAIN HANGING BELL SMALL,-1,12472
0,22580,ADVENT CALENDAR GINGHAM SACK,-4,12472
536589,21777,,-10,0
0,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-2,14092
0,22752,SET 7 BABUSHKA NESTING BOXES,-2,12471
0,22839,3 TIER CAKE TIN GREEN AND CREAM,-2,14766
0,21463,MIRRORED DISCO BALL ,-1,14390
0,22780,LIGHT GARLAND BUTTERFILES PINK,-4,16042
0,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,16042
0,22798,ANTIQUE GLASS DRESSING TABLE POT,-2,15922
0,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9360,15838
0,21314,SMALL GLASS HEART TRINKET POT,-1,13767
0,22175,PINK OWL SOFT TOY,-1,17547
0,22273,FELTCRAFT DOLL MOLLY,-3,17547
536764,84952C,,-38,0
0,22501,PICNIC BASKET WICKER LARGE,-2,15834
0,22778,GLASS CLOCHE SMALL,-1,15834
0,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-36,16546
0,22574,HEART WOODEN CHRISTMAS DECORATION,-192,16546
0,22593,CHRISTMAS GINGHAM STAR,-144,16546
0,22595,CHRISTMAS GINGHAM HEART,-144,16546
0,22588,CARD HOLDER GINGHAM HEART,-192,16546
0,22130,PARTY CONE CHRISTMAS DECORATION ,-144,16546
0,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,13958
0,72799E,IVORY PILLAR CANDLE SILVER FLOCK,-6,13958
0,85066,CREAM SWEETHEART MINI CHEST,-2,13958
0,21586,KINGS CHOICE GIANT TUBE MATCHES,-12,13958
0,21258,VICTORIAN SEWING BOX LARGE,-1,13958
0,85175,CACTI T-LIGHT CANDLES,-1,14443
0,22178,VICTORIAN GLASS HANGING T-LIGHT,-1,14443
0,21129,SILVER FISHING GNOME ,-2,14443
0,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,14156
0,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,14156
0,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,16995
0,22877,NUMBER TILE COTTAGE GARDEN 9,-1,18168
0,22869,NUMBER TILE COTTAGE GARDEN 1,-1,18168
0,22878,NUMBER TILE COTTAGE GARDEN No,-1,18168
0,21843,RED RETROSPOT CAKE STAND,-1,18168
0,22847,BREAD BIN DINER STYLE IVORY,-2,14625
0,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,14625
0,22617,BAKING SET SPACEBOY DESIGN,-1,15384
0,22197,SMALL POPCORN HOLDER,-2,15384
0,35004B,SET OF 3 BLACK FLYING DUCKS,-2,17924
0,35004B,SET OF 3 BLACK FLYING DUCKS,-3,17924
0,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-3,13408
0,22832,BROCANTE SHELF WITH HOOKS,-1,14264
0,84946,ANTIQUE SILVER TEA GLASS ETCHED,-3,14264
0,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,13295
0,22942,CHRISTMAS LIGHTS 10 SANTAS ,-48,14213
0,22689,DOORMAT MERRY CHRISTMAS RED ,-50,14213
0,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-50,14213
0,22580,ADVENT CALENDAR GINGHAM SACK,-48,14213
0,22186,RED STAR CARD HOLDER,-48,14213
0,84678,CLASSICAL ROSE SMALL VASE,-1,14679
0,22158,3 HEARTS HANGING DECORATION RUSTIC,-1,15240
0,22944,CHRISTMAS METAL POSTCARD WITH BELLS,-1,15240
0,21871,SAVE THE PLANET MUG,-1,15240
0,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-4,18225
0,22776,SWEETHEART CAKESTAND 3 TIER,-1,17954
0,84685,BEACH HUT KEY CABINET,-1,17841
0,22630,DOLLY GIRL LUNCH BOX,-1,17841
536996,22712,,-20,0
536997,22028,,-20,0
536998,85067,,-6,0
