InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,InvoiceDateTime
0,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,"12/1/2010,9:49",4.65,15311,2010-12-01 09:49:00
0,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,"12/1/2010,10:2",1.65,17548,2010-12-01 10:02:00
0,21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,"12/1/2010,10:2",0.29,17548,2010-12-01 10:02:00
0,21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,"12/1/2010,10:2",0.29,17548,2010-12-01 10:02:00
0,21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,"12/1/2010,10:2",0.29,17548,2010-12-01 10:02:00
0,21484,CHICK GREY HOT WATER BOTTLE,-12,"12/1/2010,10:2",3.45,17548,2010-12-01 10:02:00
0,22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,"12/1/2010,10:2",1.65,17548,2010-12-01 10:02:00
0,22553,PLASTERS IN TIN SKULLS,-24,"12/1/2010,10:2",1.65,17548,2010-12-01 10:02:00
0,22960,JAM MAKING SET WITH JARS,-6,"12/1/2010,12:3",4.25,17897,2010-12-01 12:03:00
0,22632,HAND WARMER RED RETROSPOT,-1,"12/1/2010,2:30",2.10,17841,2010-12-01 02:30:00
0,22355,CHARLOTTE BAG SUKI DESIGN,-2,"12/1/2010,2:30",0.85,17841,2010-12-01 02:30:00
0,22244,3 HOOK HANGER MAGIC GARDEN,-4,"12/1/2010,2:33",1.95,12472,2010-12-01 02:33:00
0,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,"12/1/2010,2:33",1.65,12472,2010-12-01 02:33:00
0,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,"12/1/2010,2:33",2.95,12472,2010-12-01 02:33:00
0,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,"12/1/2010,2:33",1.25,12472,2010-12-01 02:33:00
0,22654,DELUXE SEWING KIT ,-1,"12/1/2010,2:33",5.95,12472,2010-12-01 02:33:00
0,22767,TRIPLE PHOTO FRAME CORNICE ,-2,"12/1/2010,2:33",9.95,12472,2010-12-01 02:33:00
0,22333,RETROSPOT PARTY BAG + STICKER SET,-1,"12/1/2010,2:33",1.65,12472,2010-12-01 02:33:00
0,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,"12/1/2010,2:33",0.85,12472,2010-12-01 02:33:00
0,22077,6 RIBBONS RUSTIC CHARM,-6,"12/1/2010,2:33",1.65,12472,2010-12-01 02:33:00
0,22631,CIRCUS PARADE LUNCH BOX ,-1,"12/1/2010,2:33",1.95,12472,2010-12-01 02:33:00
0,22168,ORGANISER WOOD ANTIQUE WHITE ,-2,"12/1/2010,2:33",8.50,12472,2010-12-01 02:33:00
0,21218,RED SPOTTY BISCUIT TIN,-3,"12/1/2010,2:33",3.75,12472,2010-12-01 02:33:00
0,20957,PORCELAIN HANGING BELL SMALL,-1,"12/1/2010,2:33",1.45,12472,2010-12-01 02:33:00
0,22580,ADVENT CALENDAR GINGHAM SACK,-4,"12/1/2010,2:33",5.95,12472,2010-12-01 02:33:00
536589,21777,,-10,"12/1/2010,4:50",0.00,0,2010-12-01 04:50:00
0,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-2,"12/2/2010,9:10",2.95,14092,2010-12-02 09:10:00
0,22752,SET 7 BABUSHKA NESTING BOXES,-2,"12/2/2010,10:3",8.50,12471,2010-12-02 10:03:00
0,22839,3 TIER CAKE TIN GREEN AND CREAM,-2,"12/2/2010,10:4",9.99,14766,2010-12-02 10:04:00
0,21463,MIRRORED DISCO BALL ,-1,"12/2/2010,11:5",5.95,14390,2010-12-02 11:05:00
0,22780,LIGHT GARLAND BUTTERFILES PINK,-4,"12/2/2010,12:5",4.25,16042,2010-12-02 12:05:00
0,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,"12/2/2010,12:5",7.95,16042,2010-12-02 12:05:00
0,22798,ANTIQUE GLASS DRESSING TABLE POT,-2,"12/2/2010,1:05",2.95,15922,2010-12-02 01:05:00
0,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9360,"12/2/2010,2:23",0.03,15838,2010-12-02 02:23:00
0,21314,SMALL GLASS HEART TRINKET POT,-1,"12/2/2010,2:25",2.10,13767,2010-12-02 02:25:00
0,22175,PINK OWL SOFT TOY,-1,"12/2/2010,2:29",2.95,17547,2010-12-02 02:29:00
0,22273,FELTCRAFT DOLL MOLLY,-3,"12/2/2010,2:29",2.95,17547,2010-12-02 02:29:00
536764,84952C,,-38,"12/2/2010,2:42",0.00,0,2010-12-02 02:42:00
0,22501,PICNIC BASKET WICKER LARGE,-2,"12/2/2010,4:45",9.95,15834,2010-12-02 04:45:00
0,22778,GLASS CLOCHE SMALL,-1,"12/2/2010,4:45",3.95,15834,2010-12-02 04:45:00
0,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-36,"12/2/2010,4:58",0.85,16546,2010-12-02 04:58:00
