index_label,comment,rank_scores
331,"""i am a pretty much a sucker for those ghost hunter shows. from the cheesy mockumentaries like discovery channel's """"the haunting"""" to scooby doo reality shows like """"ghost hunters"""". when i saw promos for a&e's """"paranormal state"""" i knew i was going to watch. especially when """"paranormal state"""" was juxtaposed against a weak monday night football game.<br /><br />by the end of the pilot of """"paranormal state"""" when the main """"character"""" in this reality dance macabre gives a creepy kid a bottle of max von sydow holy water and reassures him by telling this boy that he  too  had a unspecified bad experience as a child with things that """"came out of the closet"""" and the (catholic) church gave him a holy water to fend off the things coming out of the closet i knew i should have given monday night football another shot.<br /><br />the shtick behind """"paranormal state"""" is a group of penn state students all got together and started their own ghost hunting club. or society. or super adventure club. and they run around pennsylvania researching the most terrible hauntings and the lost plot to an m. night shymalan movie.<br /><br />the """"they"""" is kind of a misnomer. really paranormal state revolves around a nittany lion named ryan buell who would probably be running penn state's yearly anime convention if it wasn't for this show. he is often accompanied on """"investigations"""" by hot co-eds and some other people seen in the credits but rarely caught on camera. hey  are they ghosts too? <br /><br />this is ryan buell's show. paranormal state is his """"vehicle"""" as we like to say in the biz. and  oh  what a dull ride in a vehicle he can be.<br /><br />did i mention ryan narrates the entire episode of paranormal state in a star date-less """"director's log"""" voice over? almost immediately that gets annoying because the obvious intention is to give ryan's ghost hunting some gravitas  but his filtered monotone does nothing but provoke grunts and laughs. seriously  every serious intonation sounds like the radio chatter from a call of duty video game.<br /><br />the """"investigations"""" -- the plot that each episode revolves around -- are interesting on the surface. no haunted inns or restaurants to be found in """"paranormal state"""". this is a show about fearing the unknown like a good catholic boy and by god they give you stuff to fear. <br /><br />small children are harassed  things loom in the dark  voices encourage the living to kill  and the aleister crowely in me rubs my hands. of the two episodes i watched each revolved around violent  nasty hauntings tied to violent  nasty deaths. <br /><br />maybe.<br /><br />maybe not. <br /><br />everything in """"paranormal state"""" is short-handed into half hour  """"dog the bounty -- er  ghost hunter"""" blocks. every time there is an interesting  verifiable shred of evidence -- the murder of a family in a farmhouse in the 1800s -- the proof is waved in front of the viewer like a con artist trying to convince you a stack of papers currently under your nose is proof of that ten million coming from nigeria and then yanked away before you can get a good gander. <br /><br />at least with sci-fi channel's """"ghost hunters"""" there is a somewhat over-exhaustive need to trot out every possible shred of evidence and present it to the viewer. evps that could be a rat farting  cold spots in a drafty house  and """"orbs"""" that even the ghost hunters themselves discount as dust. it is a sort of scooby doo like approach that makes """"ghost hunters"""" ... almost believable.<br /><br />whereas """"paranormal state"""" claims to have evps but gives the viewer a ten second video clip of a wave file in garage band with no audio. yep  see  an evp  right? people are claiming to see dark figures in the basement... well  we will just go and see about that... while leaving the night vision camera on an enthralling stationary shot of the living room. ryan  the intrepid leader of this pack of penn state graduates  is claiming to see """"visions"""" of a demon's name he knows and that might be involved in a paranormal haunting... but he can't tell us  the audience  or his team of gothed out undergrads  because... he can't. you never say a demon's name out loud  ryan informs the wide eyed co-ed who dare inquires.<br /><br />well  how very very convenient for you. especially since this is a television show where the audience cannot read your mind.<br /><br />""""paranormal state"""" is all turn and no prestige. the audience gets told what is supposedly happening but you never see an ounce of proof that the creepy kid is seeing dead people. not even grainy video of a chair moving  or a black blob running between prison cells. nothing. you are just told what happened by ryan in yet another mechanical voice over.<br /><br />if you are going to try and spook me dress it up a little. if you are trying to sway me  show me a orb or a blob and have the fat chick who works days at hot topic tell me why that black orb is really the spirit of an ax murderer. and if you want to make me watch a ghost hunting show give me something besides trotting out lorraine warren by the second episode.<br /><br />""""paranormal state"""" is weak sauce. not really worth watching unless you are hard up for tv time  or just have that thin of a dvd collection. or unless you want to know what really happened in that closet with the holy water.""",9
39,"""master director ching siu tung's perhaps most popular achievement is this series  a chinese ghost story 1-3. chinese ghost story stars leslie cheung in some distant past in china as a tax collector who is forced to spend a night during his """"collecting trip"""" in a mysterious castle in which some strange old warriors fight and meet him. beautiful actress joey wang/wong is the ghost who lives in that castle and is under a domination of one powerful demon  a wood devil who collects human souls for herself/itself with the help of her beautiful ghosts. leslie and joey fall in love  and even though ghosts are not allowed to live with humans  they decide to break that rule and live happily together for the rest of their lives. this is not what the wood devil thinks and our protagonists have to fight for their lives and their happiness.<br /><br />this film is no less full of magic than other films by ching siu tung. his masterpieces include duel to the death (1983) and the swordsman series  which all have incredible visuals and kinetic power in their action scenes. ghost story is full of brilliant lightning and dark atmosphere  which is lightened by the strong presence of the beautiful and good willing ghost. the effects are simply breath taking and would work at their greatest power in the big screen. the camera is moving and twisted all the time and it adds to the fairy tale atmosphere this film has. there's plenty of wire'fu stunts  too  and even though some think they are and look gratuitous or stupid when used in films  i cannot agree and think they give motion pictures the kind of magic  freedom and creativeness any other tool could not give. when people fly in these films  it means the films are not just about our world  and they usually depict things larger than life with the power of this larger than life art form.<br /><br />the story about the power of love is pretty touching and warm  but the problem is (again) that the characters are little too shallow and act unexplainably occasionally. leslie and joey should have been written with greater care and their characters should be even more warm  deep and genuine in order to give the story a greater power and thus make the film even more noteworthy and important achievement. also  the message about love and power of it is underlined little too much at one point and it should have been left just to the viewer's mind to be interpreted and found. another negative point about the dialogue is that it's too plenty and people talk in this film without a reason. that is very irritating and sadly shows the flaws many scriptwriters tend to do when they write their movies. people just talk and talk and it's all there just to make everything as easy to understand as possible and so the film is not too challenging or believable as it has this gratuitous element. just think about the films of the japanese film maker takeshi kitano; his films have very little dialogue and all there is is all the necessary as he tells his things by other tools of cinema and never talks  or makes other characters talk too much in his movies. this is just the talent the writers should have in order to write greater scripts.<br /><br />otherwise  chinese ghost story is very beautiful and visually breath taking piece of eastern cinema  and also the song that is played in the film is very beautiful and hopefully earned some award in the hong kong film awards back then. i give chinese ghost story 7/10 and without the flaws mentioned above  this would without a doubt be almost perfect masterpiece of the fantasy genre.""",7
292,"""""""ghost son"""" is lamberto bava's best film and  at the same time  also his worst. i suppose that statement requires some slight clarification. it's his best because it's well directed  ambitious  accessible and very stylish  but his worst because it's a dull  unoriginal movie and undeniably a huge letdown to all the real fans of bava's past efforts. let's face it: many fans  myself certainly included  wouldn't have been interested in this film judging by the plot  the famous names attached to it and even the boring sounding title. the only motivation here was lamberto bava  who brought us large amounts of convoluted gialli and fun splatter films in the past. """"ghost son"""" is a bit of his comeback film  alongside """"the torturer""""  and although the latter definitely isn't a good film  it at least lives up to his fans' lines of expectations  with excessive amounts of sleaze  blood and sadism. """"ghost son"""" is a weak and intolerably soft horror film  even talking in terms of mainstream ghost stories. the emphasis lies too much on sentimentality  and this badly affects the already limited number of horrific & creepily atmospheric moments. the basic premise might feature one or two potentially good ideas  but the film is overall dull and far too clichéd. john hannah and laura harring star as a happy couple  living on a remote ranch in south africa and breeding horses for a living. the joy and happiness couldn't possibly improve  so naturally something tragic is bound to happen  and it does. mark dies in a car accident  but the inconsolable stacey remains at the ranch where she's in constant contact with mark's spirit. she even gets pregnant with his child  but shortly after baby martin's birth mysterious events begin to occur. it seems as if mark's restless and selfish ghost 'possessed' the baby and uses him to encourage stacy into committing suicide. with all the focus on the couple's relationship  many of the events and sub plots are underdeveloped and/or remains unexplained  like the whole background of the youthful maid thandi. there's too little action and the only real fright-moments are too obviously borrowed from classic films such as """"the exorcist"""" and """"rosemary's baby"""" (vomiting green goo  self moving furniture). purely talking in terms of horrific entertainment """"ghost son"""" is a painful misfire  but it has to be said  it's a beautiful and enchanting looking failure. the cinematography is extremely elegant and many camera angles are truly inventive and suggestive. the moody score sometimes even manages to create an ominous atmosphere even though there's nothing of any significance happening on screen. there are several beautiful images of the south african wildlife to admire but  if that interests you  i suppose you're better off watching national geographic instead. not much to recommend here. fans of atmosphere-driven ghost stories have much better options to choose from and die-hard bava fanatics are advised to (re-)watch """"demons""""  """"macabre"""" or """"blade in the dark"""".""",7
245,"""ghost town starts as kate barrett (catherine hickland) drives along an isolated desert road  her car suddenly breaks down & she hears horses hoofs approaching... deputy sheriff langley (frank luz) of riverton county is called in to investigate kate's disappearance after her father reports her missing. he finds her broken down car & drives off looking for her  unfortunately his car breaks down too & he has to walk. langley ends up at at a deserted rundown ghost town  much to his shock langley soon discovers that it is quite literally a ghost town as it's populated by the ghosts of it's former residents & is run by the evil devlin (jimmie f. skaggs) who has kidnapped kate for reasons never explained & it's up to langley to rescue her & end the towns curse...<br /><br />the one & only directorial effort of richard governor this odd film didn't really do much for me & i didn't like it all that much. the script by duke sandefur tries to mix the horror & western genres which it doesn't do to any great effect. have you ever wondered why there aren't more horror western hybrid films out there? well  neither have i but if i were to ask myself such a question i would find all the answers in ghost town because it's not very good. the two genres just don't mix that well. there are plenty of clichés  on the western side of things there's the innocent townsfolk who are to scared to stand up to a gang of thugs who are terrorising them  the shoot-outs in the main street  saloon bars with swing doors & prostitutes upstairs & horror wise there's plenty of cobwebs  some ghosts  an ancient curse  talking corpses & a few violent kills. i was just very underwhelmed by it  i suppose there's nothing terribly wrong with it other than it's just dull & the two genres don't sit together that well. there are a few holes in the plot too  why did devlin kidnap kate? i know she resembled his previous girlfriend but how did he know that & what was he going to do with her anyway? we never know why this ghost town is full of ghosts either  i mean what's keeping them there & what caused them to come back as ghosts? then there's the bit at the end where devlin after being shot says he can't be killed only for langley to kill him a few seconds later  i mean why didn't the bullets work in the first place?<br /><br />director governor does alright  there's a nice horror film atmosphere with some well lit cobweb strewn sets & the standard hollywood western town is represented here with a central street with wooden buildings lining either side of it. i wouldn't say it's scary because it isn't  there's not much tension either & the film drags in places despite being only just over 80 odd minutes in length. forget about any gore  there a few bloody gunshot wounds  an after the fact shot of two people with their throats slit & someone is impaled with a metal pole & that's it.<br /><br />i'd have imagined the budget was pretty small here  it's reasonably well made & is competent if nothing else. credit where credit's due the period costumes & sets are pretty good actually. the acting is alright but no-ones going to win any awards.<br /><br />ghost town is a strange film  i'm not really sure who it's meant to appeal to & it certainly didn't appeal to me. anyone looking for a western will be annoyed with the dumb horror elements while anyone looking for a horror film will be bored by the western elements. it's something a bit different but that doesn't mean it's any good  worth a watch if your desperate but don't bust a gut to see it.""",6
6,"""i like ghost stories. good ghost stories of bumps in the night  voices that cannot be explained. now i've see many of them. as special efx have a ever more grip on todays films  some times to find a real gem   you gotta turn the clock back to the time when the writers and directors really had to use their heads to create really good ghost stories. now this one  very rare   pilot episode for the tv series ghost story called """" the new house """" was one of the most scariest films i ever saw. it was on once in 1972 ...i was only 9 ..but nothing since then even compared to it. with all the remake going on in hollywood  some one should do this one """" as is """" with no more special efx than the original. this episode was down right creepy as hell. i'm lucky to find it finally on dvd today and very rare and hard to find. the only other 2 ghost stories to even come close was the original """" the haunting """" and george c. scott in """" the changling """" . wish someone would do more ghost stories like these.""",6
323,"""i was lucky enough to watch this without any pre viewing hype. i was surprised at the resilience of the ghost's image in my mind the next day  and the day after that. i've watched it 3-4 times  and each time i appreciate it even more. the settings are gorgeous  the town at dusk has beautiful lighting effects  the marsh long shots  and the house itself is sufficiently grown with moss. the main hero is so likable and good natured  that he is easily sympathized with. to the person who complained that there wasn't enough 'spark' in this film  i'd say that it's because the whole fight against the ghost is being waged by just this one person. it is a fairly slow paced film  with an unusual amount of time being spent  pre and post ghost attack  on developing his character with family and work life. spoilers discussion/<br /><br />i especially liked the turning point  when he comes back to the main town and meets with the man helping him and explains about seeing the ghost. he describes the woman in black  and then at the end of the conversation he says that he is going back  because after all  what harm had she done to him? the other man says  """"you can't go back... alone!"""" and lends the hero his dog. the cute little dog offers a small respite of comic relief  with it's bounding through the house and even into the locked room.<br /><br />the many casual appearances of the ghost really freaked me out. the woman shows up in mid shot at the church  showing that it is not afraid of the church  and is also not shy or bound to the house. this is all in the very beginning. another unbelievably memorable scene was with the kids outside of the church fence  watching the funeral. as the camera pans to the right  the woman is seen in the background among the gravestones. the older man won't even look at it  but the kids are all yelling and taunting it. crreeepy... usually ghosts are hidden in shadows  haunting specific locales or people. as has been mentioned  the ghost's malevolence and wrath are frightening  and i feel it's attacks and the ending were perfect and fully justified. the ending underlined the fact that the hero made a major mistake by going back to the house. or perhaps he was marked no matter what  by saving the gypsy girl. the guy who plays the hotel manager is so believable  and really fills the role well. i have been spreading the word to my friends about how much i enjoyed this film  and it is reassuring to see others feel the same. i can see how people don't quite see the same masterpiece  especially if they went into it with a lot of review hype.<br /><br />i think another person summed it up when they said that this movie settled the question of whether or not ghosts could physically harm man. whew.. i plan to watch it again tonight followed by the changeling  aaww yeah. any other films to recommend?<br /><br />thanks """,6
95,"""a truly disturbed  cannibalistic psychopath  john(gary kent  under the pseudonym michael brody) who lives in a cave  stalks campers who make the unfortunate mistake of backpacking in his wilderness. steve(dean russell)and his buddy charlie(john batis)get into a playful argument with their wives  sharon(tomi barrett  the late real-life wife of gary kent))& teddi(ann wilkinson)over surviving in the woods camping by themselves. to prove a point  the gals decide to head for the wilderness out of los angeles for a camping trip disturbing their partners to the point that they soon follow afterward. falling prey to john  teddi is soon killed as sharon runs for her life as the men arrive late to the wilderness due to their truck's overheating. afraid  tired  and paranoid  sharon receives some very unusual assistance..john's ghost children! that's right  john's children remain in the wilderness  ghostly apparitions which spy on those who exist in the woods  taking a special liking to sharon  helping guide her to safety and her friends. meanwhile  steve and charlie soon find shelter from a down pour and the darkness of night in the very cave where john lives. cooking over a burning fire  the meat simmering is actually from charlie's wife  teddi! unknowingly charlie eats from the meat when offered by john who finds the outsiders inside his dwelling place! anyway  soon  worried about their wives  steve and charlie set out to find them as morning breaks. meanwhile  john goes a hunting  with charlie  steve  and sharon in a fight for survival. when steve suffers a compound fracture stumbling between two massive rocks over a flowing river  he will be handicapped only increasing such an already nightmare scenario  with sharon following her ghostly young friends to potential safety..they even  at one point  plead with their father to not kill her. charlie  unfortunately  doesn't have such friends.<br /><br />director donald jones(..who also wrote it and went broke funding the film)smartly shoots the film in such a breathtaking  gorgeous location in the sequoia national park  in california  where those gargantuan trees tower to great heights  and i basically watch backwoods slashers for this very purpose. for some strange reason  i didn't particularly find jones' direction of the setting very atmospheric..the dread was missing  although there are some rather disturbing attacks by john using his knife(..shot in a clever way  jones' camera suggests more than what is actually on screen  yet  somehow  still achieves that gasp at what john is doing to victims). within such a picturesque landscape  to see innocents preyed upon by a maniac  that kind of increases the terror. city folk attempting to spend a nice few days in a different place  to smell the clean  fresh air  enjoy the sights of a lovely view  only to find themselves stalked by a creepy predator with a very intimidating knife. providing the back-story to why john is the monster he is  jones allows us to witness his memory flashback in discovering his wife's adultery and reacting accordingly(..she is also a ghost in the wilderness looking for her children  wishing to punish them for """"being naughty"""")killing both her and the lover in bed(..a refrigerator repairman). the children  sad and depressed committed suicide and now """"haunt"""" the wilderness  still interacting with their pa or whoever they so choose. i realize such a novelty as ghost children in a backwoods slasher is unique and appreciated by some  but i found the idea rather hokey and too silly to take serious. they do help our heroine escape a few potentially dangerous situations  but it was awfully hard for me to keep from giggling uncontrollably. the music i found hideously 80's and the performances aren't mind-blowing. i mean i could react to the situation they were in  because it is indeed quite terrifying to find yourselves in an unfamiliar and hostile territory being hunted by someone who knows the area so well. i think the film is similar in many ways to don't go into the woods..alone!  except that the forest has the aforementioned ghost children(..their voices echo when talking to sharon  their father  or each other). gary kent looks like a filthy george lucas  with tattered clothes  and humanity lost. as i mentioned above  the violence isn't as grisly as what is suggested because director jones is able to effectively cut away from a great deal of knife penetration  yet the way he stages the set pieces leave you rather unsettled(..such as teddi's murder  the violence mostly silhouetted on the surface of a nearby huge stone formation  her pleas for john to stop and  once stabbed several times  attempts to crawl away from her predator only to be finished off;a hanging corpse john is skinning). i've seen better and worse of this type of slasher film  it's rather mediocre  at best  with some effectively shot scenery. i don't really think it's particularly memorable  for the exception of the ghost children.""",5
285,"""everyone is surely familiar with this most famous of stories  a heartless businessman is visited by the ghost of his dead partner on christmas eve and warned that if he continues in his uncaring ways then he will be doomed to an afterlife in chains. so that he can avoid his partner's fate he is visited by three spirits who show him visions of christmases past  present and yet to come  so that he will hopefully see the error of his ways before it is too late. a rather morbid tale one might think  but it is classic charles dickens  and also one of the most famous and popular christmas stories of all time.<br /><br />to me this is the definitive version of dickens' timeless story; it's the one i always remember watching in school  and i remember being absolutely terrified by it! the ghost of jacob marley  the final scene with the ghost of christmas present under the bridge  and the ghost of christmas yet-to-come especially i found very frightening. how on earth did the film gain the 'u' certificate? (for non-uk readers 'u' is the lowest classification  it means family friendly and children welcome  nothing to scare them etc... this is certainly not the case though  as some smaller children will undoubtedly find the final segment positively terrifying with the grim reaper-like spectre of christmas future.<br /><br />be that as it may  from the many versions of this classic story i have seen adapted for film  this is possibly the most faithful to the book. most notably included is a segment rarely seen in film adaptations of the original text - that of the ghost of christmas present showing scrooge the two children hidden under his robe (you'd never get away with a scene like that nowadays!). the two children represent ignorance and need (although changed to want in this film).<br /><br />criticisms for me however become apparent having watched it again with more objective and trained eyes  the main one of which being that george c. scott's portrayal of scrooge seems simply not cold enough. he laughs too much. i don't want to use the word jolly because of course ebeneezer is anything but  but he does seem to be merely a grumpy old man  rather than the positively unkind  cold and uncaring man that he is in the book and other films. patrick stewart portrayed him excellently in one of the most recent versions filmed  and michael caine  despite acting alongside the muppets  was positively cold. further  the development of the character over the course of the film as he learns more about the error of his ways and grows towards redemption is unconvincing and appears inconsistent. he appears to have changed little by the time he reaches the third spirit's final lesson.<br /><br />but ignoring this one (albeit major) quibble  it is still a spellbinding and ultimately heart-warming christmas tale  as all christmas films should be. london of course looks like the perfect picturesque quaint snow-covered english town that many americans probably imagine it still is (the truth is that even then that london was grey and grimy  and any snow would never have been so white!) and everyone is so impeccably dressed too  even the poor people look rather dapper. but of course it's a christmas film  so why shouldn't everything look nice? perfect holiday season viewing; coupled with copies of it's a wonderful life  miracle on 34th street and the snowman and you've got everything you need.""",5
238,"""one of the genres that flourished during the decade of the 30s was the variation of crime fiction known as """"the murder mystery""""  as the addition of sound to films helped to make a more faithful translation to film of what the audiences experienced in the original plays. and since horror films were very popular in those years  by enhancing the horror elements of the plots the murder mystery films experienced a popularity almost equal to what it enjoyed in the previous decade (in which the first movies of the genre were produced). aspiring playwright charles belden saw in this renewed interest in murder mysteries a chance to make a name for himself  after warner bros. picked his three-act play  """"the wax works""""  to create the 1933 horror film  """"mystery of the wax museum"""". belden joined independent filmmaker frank r. strayer to keep making films  and """"the ghost walks"""" was one of his best.<br /><br />in """"the ghost walks""""  john miljan plays prescott ames  a young playwright who wants to impress a famous broadway producer named herman wood (richard carle) with his new play. ames takes wood and his assistant homer (johnny arthur) to his country house for a reading of his play  but his car ends up stuck in the mud during a terrible storm. the three men ask for refugee in an old mansion which happens to be property of one of ames' old acquaintances. inside the house  wood and homer witnesses the strange relationship between ames and the house owners  however  this is all a plan conceived to impress wood: everyone in the house is an actor playing a role in his murder mystery. unfortunately  the murder committed is done for real  and while wood and homer think it's all fake (after discovering ames' original plan)  the cast knows that someone inside the house is a real murderer.<br /><br />as expected  charles belden's screenplay for """"the ghost walks"""" features the classic elements of the murder mystery stories of its time  as we have the stormy night at an old dark house as setting  the obligatory group of suspects  and the touch of comedy. however  what's interesting here is how belden makes the film a real spoof on the genre with the many twists he puts in his story to play with the clichés of murder mystery plays. the dialogs are excellent  full of wit and lighthearted charm  and while the plot certainly loses a lot of steam by the end (it follows the murder mystery routine anyways)  it never fails to be interesting and entertaining thanks to its smart twists and specially its quirky characters. interestingly  there's an obvious gay subtext that while stereotypical  it's never denigrating and it's genuinely funny at times.<br /><br />by 1934 director frank r. strayer was already an experienced craftsman in the poverty row side of the film industry  but his partnership with writer charles belden would give him a couple of his most interesting movies  and """"the ghost walks"""" was one of them. while obviously done on a shoestring budget and the typical production values of independent films of its time  strayer manages to take advantage of his set and makes an atmospheric movie that fits nicely the mood and tone of the story. the pacing is a little too slow at times  but strayer knew that the power of his film was on belden's script and makes the most of it  letting his cast to make the most of their characters with excellent results. certainly the execution is a bit typical and unoriginal  but strayer makes an effective albeit restrained work in this film.<br /><br />as written above  the screenplay is filled with great lines that make the quirky characters shine  and fortunately  most of the cast play with this to their advantage. veteran character actor richard carle is remarkably funny as cranky producer herman wood  adding a lot of charm to his character  specially in his scenes with johnny arthur  who plays the flamboyant secretary homer. arthur is the one who gets the most best scenes  and he gives and hilarious performance as the cowardly yet witty assistant. john miljan is just effective as presocott ames  nothing amazing  but nothing really bad  and the same could be said about june collyer as gloria shaw (the obligatory love interest)  whom is just fine. however  donald kirke is really enjoyable as the malicious terry shaw  and it's a shame he didn't get more screen time.<br /><br />as usual with frank r. strayer films  the low budget hurts the film badly  as while strayer makes the best he can  the film still feels kind of plain at times. however  the main problem is problem the very slow pace it has  as even when the film is filled with sparkly moments of witty dialogs  it moves at a pace so slow that can become boring and tedious for moments. it also must be said that while effective in their roles  miljan and collyer are pretty dull and average when compared to arthur and carle  and one wishes the movie had been more focused on the comedic pair they make than on the main couple. finally  as written above the ending is kind of weak and not up to the high standard of the first and middle parts  although credit must go to belden for keeping creative plot twists appearing until the very end.<br /><br />one could say that charles belden is an unsung hero of the murder mystery genre  as among the many horror and mystery films that came out the b movie studios nicknamed as """"the poverty row""""  """"the ghost walks"""" is easily among the best (alongisde strayer's previous film  """"the vmapire bat"""") despite its shortcomings. and even when it's definitely not a masterpiece of the genre  it's a nice way to spend a night enjoying the way it pokes fun at its own origin as a murder mystery play. a very recommended film if you like the genre. 7/10""",5
123,"""i am a fan of the paranormal and i love ghost hunters so when this show first came out i decided to give it a try. i could barely sit through one episode. the show is so obviously staged. i mean come on  every single episode involves someone being possessed or involves a demonic force trying to kill the family. another huge flaw is that these guys never debunk anything. when i watch ghost hunters they find evidence and try to disprove it and if they can't then it is evidence. on this show they find a voice or a piece of video evidence and they are very quick to call it a ghost. this completely ruins their credibility unlike taps and ghost hunters who actually know what they're doing. honestly if you're interested in the paranormal and want to watch a show about it watch ghost hunters.""",5
